AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_NETAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2024|2|M|LOS RIOS|VENTANAS|186589,8300|77842,1300|0,0000|248646,4100|57912,9400|0,0000|100,0000|306659,3500|264431,9600
2024|2|H|SANTO DOMINGO DE LOS TSACHILAS|LA CONCORDIA|42265,0100|361689,0700|0,0000|39658,9800|220060,7500|0,0000|8631,4400|268351,1700|403954,0800
2024|2|Q|COTOPAXI|LATACUNGA|68671,9800|1166754,1700|0,0000|1013712,7300|694948,7300|1691,7400|24027,4100|1734380,6100|1235426,1500
2024|2|G|SANTA ELENA|SALINAS|3874754,9800|2648596,1900|206348,0500|3306397,1600|1579130,1500|6177,2500|93304,9500|4985009,5100|6729931,2400
2024|2|I|TUNGURAHUA|QUERO|17584,1000|933,0000|0,0000|7983,9500|173,4100|0,0000|60,1500|8217,5100|18517,1000
2024|2|C|MANABI|ROCAFUERTE|17521,4100|105827,5800|0,0000|26237,5100|27884,6200|0,0000|797,0500|54919,1800|123348,9900
2024|2|A|TUNGURAHUA|TISALEO|4351,4100|235956,7400|0,0000|8985,3900|50051,3000|0,0000|75025,5700|134062,2600|240308,1600
2024|2|G|LOJA|ZAPOTILLO|224981,0600|689766,9900|0,0000|384198,1600|585144,8800|0,0000|1754,6000|971097,6400|914748,0900
2024|1|L|LOS RIOS|VENTANAS|62371,0800|7974,4300|0,0000|17680,3900|10408,2500|0,0000|0,0000|28088,6400|70345,5100
2024|1|N|AZUAY|SAN FERNANDO|86,9600|0,0000|0,0000|4101,5300|0,0000|0,0000|0,0000|4101,5300|86,9600
2024|1|S|MORONA SANTIAGO|HUAMBOYA|1729,8900|0,0000|0,0000|4164,9400|0,0000|0,0000|0,0000|4164,9400|1729,8900
2024|1|S|GUAYAS|DAULE|980241,1900|2959374,1000|2000,0000|1486635,8700|602633,3900|417,7000|96857,8500|2186544,8100|3941625,3000
2024|1|M|PICHINCHA|PEDRO MONCAYO|130560,7100|27953,3500|0,0000|72706,5700|23226,4200|0,0000|2378,2000|98311,1900|158514,0600
2024|1|K|GUAYAS|SAMBORONDON|1186100,3400|2988838,6600|183605,5600|1273956,8200|638852,9000|4,0000|7294,6800|2281536,4000|4358544,5600
2024|1|A|SANTO DOMINGO DE LOS TSACHILAS|SANTO DOMINGO|674916,9500|30538289,6000|2760786,3600|2476739,0600|25341628,0600|101820,8700|548604,9300|28477532,9200|33982501,5900
2024|1|K|MANABI|PORTOVIEJO|111869,6100|2155103,4800|0,0000|865658,4600|148409,8900|0,0000|28958,6200|1043026,9700|2266973,0900
2024|1|H|SANTA ELENA|LA LIBERTAD|876206,9900|2485905,8000|4034,8600|1056581,2300|1525694,3200|0,0000|41364,3800|2623639,9300|3366147,6500
2024|1|M|TUNGURAHUA|SAN PEDRO DE PELILEO|570183,1800|57074,9900|0,0000|403815,3400|83063,8700|26,0000|1650,5400|488565,7500|627953,1800
2024|1|Q|LOJA|LOJA|953449,2700|3186491,9900|0,0000|1484048,2000|2126620,8900|6743,6300|40289,5300|3657702,2500|4139941,2600
2024|1|A|LOS RIOS|BABAHOYO|485345,7500|6350177,3600|480,0000|863352,9100|3434031,6200|21595,1900|110157,5300|4429137,2500|6836064,1500
2024|1|L|EL ORO|PASAJE|117577,0000|59425,0800|0,0000|37043,2900|21392,5400|0,0000|0,0000|58435,8300|177002,0800
2024|1|S|GALAPAGOS|ISABELA|657,0400|3488,3400|0,0000|2087,4200|2329,1400|0,0000|0,0000|4416,5600|4145,3800
2024|1|S|LOS RIOS|VALENCIA|7040,7500|145193,4400|0,0000|17212,9200|30848,1700|1286,3000|4014,1400|53361,5300|152234,1900
2024|1|A|IMBABURA|PIMAMPIRO|20679,6000|293922,5500|0,0000|28420,0400|114176,1000|0,0000|30621,6800|173217,8200|314602,1500
2024|1|Q|PASTAZA|PASTAZA|17712,6300|241151,7300|0,0000|189875,7300|136676,6300|0,0000|9295,5800|335847,9400|258864,3600
2024|1|M|CAÑAR|BIBLIAN|146811,2600|85052,8600|0,0000|97610,0700|44709,8700|0,0000|202,2500|142522,1900|231874,1200
2024|1|F|EL ORO|EL GUABO|13547,9100|906436,6500|0,0000|671489,5000|31514,3600|0,0000|5736,6000|708740,4600|921134,5600
2024|1|A|MANABI|CHONE|106165,7600|1017771,7700|0,0000|457553,7700|444502,9100|0,0000|6706,0000|908762,6800|1123937,5600
2024|1|J|SANTO DOMINGO DE LOS TSACHILAS|SANTO DOMINGO|2154392,4100|29013,8800|36660,0500|1297711,8500|102587,9700|23486,4300|56567,2800|1487335,7500|2220066,3400
2024|1|N|EL ORO|PASAJE|92478,5600|5668,4100|0,0000|67601,3900|39501,3500|0,0000|50,5000|107153,2400|98146,9700
2024|1|F|LOJA|CHAGUARPAMBA|4291,4400|0,0000|0,0000|705,1600|0,0000|0,0000|0,0000|705,1600|4291,4400
2024|1|F|CHIMBORAZO|ALAUSI|24290,8200|11511,1700|0,0000|126460,6500|4161,7400|0,0000|9416,8500|140039,2400|35802,0000
2024|1|L|EL ORO|HUAQUILLAS|35903,3300|22301,6600|0,0000|17630,0000|117516,8800|0,0000|101,2500|135248,1300|58204,9900
2024|1|J|CHIMBORAZO|CHUNCHI|26247,9200|0,0000|0,0000|19853,7300|544,7200|20,0000|54,7500|20473,2000|26247,9200
2024|1|B|LOJA|CALVAS|4617,1500|0,0000|0,0000|17677,3200|116,3600|0,0000|0,0000|17793,6800|4617,1500
2024|1|Q|GUAYAS|SIMON BOLIVAR|0,0100|5585,4100|0,0000|99,6900|1108,6800|0,0000|0,0000|1208,3700|5585,4200
2024|1|F|CAÑAR|SUSCAL|66135,9100|0,0000|0,0000|17326,1400|4203,4400|0,0000|0,0000|21529,5800|66135,9100
2024|2|M|AZUAY|NABON|22006,6100|5780,9000|0,0000|41152,9000|20255,3200|14774,0500|0,0000|76182,2700|27787,5100
2024|2|N|GALAPAGOS|SAN CRISTOBAL|567663,8200|4009499,0700|0,0000|1466628,3200|666506,8800|166970,7800|55470,9000|2366434,7800|4577162,8900
2024|2|M|COTOPAXI|SAQUISILI|127348,8200|23805,0200|0,0000|52137,9100|27652,2200|0,0000|2572,1500|82362,2800|151163,8400
2024|2|F|ZAMORA CHINCHIPE|NANGARITZA|33976,3800|0,0000|0,0000|55266,0400|1994,7000|0,0000|0,0000|57260,7400|33976,3800
